華語詞目id,華語詞目,腔,漢字,羅馬字
250,釋迦,臺中偏漳腔,釋迦,sik-khia
251,西瓜,鹿港偏泉腔,西瓜,si-kue
251,西瓜,三峽偏泉腔,西瓜,se-kue
251,西瓜,臺北偏泉腔,西瓜,si-kue
251,西瓜,宜蘭偏漳腔,西瓜,si-kue
251,西瓜,臺南混合腔,西瓜,si-kue
251,西瓜,高雄混合腔,西瓜,si-kue
251,西瓜,金門偏泉腔,生瓜,sinn-kue
251,西瓜,馬公偏泉腔,生瓜,sinn-kue
251,西瓜,新竹偏泉腔,西瓜,si-kue
251,西瓜,臺中偏漳腔,西瓜,si-kue
252,椰子,鹿港偏泉腔,椰子,iâ-tsí
252,椰子,鹿港偏泉腔,鱟薸,hǎu-phiô
252,椰子,三峽偏泉腔,椰子,iâ-tsí
252,椰子,臺北偏泉腔,椰子,iâ-tsí
252,椰子,宜蘭偏漳腔,椰子,iâ-tsí
252,椰子,臺南混合腔,椰子,iâ-tsí
252,椰子,高雄混合腔,椰子,iâ-tsí
252,椰子,金門偏泉腔,椰子,iâ-tsí
252,椰子,馬公偏泉腔,椰子,iâ-tsí
252,椰子,新竹偏泉腔,椰子,iâ-tsí
252,椰子,臺中偏漳腔,椰子,iâ-tsí
253,番茄,三峽偏泉腔,臭柿仔,tshàu-khī-á
253,番茄,臺北偏泉腔,臭柿仔,tshàu-khī-á
253,番茄,宜蘭偏漳腔,臭柿仔,tshàu-khī-á
253,番茄,臺南混合腔,柑仔蜜,kam-á-bi̍t
253,番茄,高雄混合腔,柑仔蜜,kam-á-bi̍t
253,番茄,金門偏泉腔,柑仔得,kam-á-te
253,番茄,金門偏泉腔,臭柿仔,tshàu-khī-á
253,番茄,馬公偏泉腔,柑仔蜜,kam-á-bi̍t
253,番茄,馬公偏泉腔,虎井蜜,hóo-tsínn-bi̍t
253,番茄,新竹偏泉腔,番茄,huan-kiô
253,番茄,鹿港偏泉腔,トマト,thoo-má-tooh
253,番茄,新竹偏泉腔,トマト,thoo-má-tooh
253,番茄,臺中偏漳腔,トマト,thoo-má-tooh
254,梨子,鹿港偏泉腔,梨仔,lâi-á
254,梨子,三峽偏泉腔,梨仔,lâi-á
254,梨子,臺北偏泉腔,梨仔,lâi-á
254,梨子,宜蘭偏漳腔,水梨仔,tsuí-lâi-á
254,梨子,宜蘭偏漳腔,梨仔,lâi-á
254,梨子,臺南混合腔,水梨仔,tsuí-lâi-á
254,梨子,臺南混合腔,梨仔,lâi-á
254,梨子,高雄混合腔,水梨仔,tsuí-lâi-á
254,梨子,高雄混合腔,梨仔,lâi-á
254,梨子,金門偏泉腔,梨,lâi
254,梨子,馬公偏泉腔,梨仔,lâi--á
254,梨子,新竹偏泉腔,梨仔,lâi-á
254,梨子,臺中偏漳腔,梨仔,lâi-á
255,鴨仔,鹿港偏泉腔,鴨仔,ah-á
255,鴨仔,三峽偏泉腔,鴨仔,ah-á
255,鴨仔,臺北偏泉腔,鴨仔,ah-á
255,鴨仔,宜蘭偏漳腔,鴨仔,ah-á
255,鴨仔,臺南混合腔,鴨仔,ah-á
255,鴨仔,高雄混合腔,鴨仔,ah-á
255,鴨仔,金門偏泉腔,鴨,ah
255,鴨仔,馬公偏泉腔,鴨,ah
255,鴨仔,新竹偏泉腔,鴨,ah
255,鴨仔,臺中偏漳腔,鴨,ah
256,小鴨,鹿港偏泉腔,鴨仔,ah-á
256,小鴨,鹿港偏泉腔,鴨仔囝,ah-á-kánn
256,小鴨,三峽偏泉腔,鴨仔囝,ah-á-kánn
256,小鴨,臺北偏泉腔,鴨仔囝,ah-á-kiánn
256,小鴨,宜蘭偏漳腔,鴨仔囝,ah-á-kiánn
256,小鴨,臺南混合腔,鴨仔囝,ah-á-kiánn
256,小鴨,高雄混合腔,鴨仔囝,ah-á-kiánn
256,小鴨,金門偏泉腔,鴨仔,ah--á
256,小鴨,馬公偏泉腔,鴨仔,ah--á
256,小鴨,新竹偏泉腔,鴨仔囝,ah-á-kiánn
256,小鴨,臺中偏漳腔,鴨咪仔,ah-bî-á
257,翅膀,鹿港偏泉腔,雞翼,kue-si̍t
257,翅膀,三峽偏泉腔,翼,si̍t
257,翅膀,臺北偏泉腔,翼,si̍t
257,翅膀,宜蘭偏漳腔,翼,si̍t
257,翅膀,臺南混合腔,翼,si̍t
257,翅膀,高雄混合腔,翼,si̍t
257,翅膀,高雄混合腔,翼股,si̍t-kóo
257,翅膀,金門偏泉腔,翼,si̍t
257,翅膀,馬公偏泉腔,翼,si̍t
257,翅膀,新竹偏泉腔,翼股,si̍t-kóo
257,翅膀,臺中偏漳腔,翼,si̍t
258,雨傘節,鹿港偏泉腔,雨傘節,hǒo-suànn-tsat
258,雨傘節,三峽偏泉腔,雨傘節,hōo-suànn-tsat
258,雨傘節,臺北偏泉腔,雨傘節,hōo-suànn-tsat
258,雨傘節,宜蘭偏漳腔,雨傘節,hōo-suànn-tsat
258,雨傘節,臺南混合腔,雨傘節,hōo-suànn-tsat
258,雨傘節,高雄混合腔,雨傘節,hōo-suànn-tsat
258,雨傘節,金門偏泉腔,雨傘橐,hōo-suànn-lok
258,雨傘節,馬公偏泉腔,𥰔仔節蛇,phín-á-tsat-tsuâ
258,雨傘節,新竹偏泉腔,雨傘節,hōo-suànn-tsat
258,雨傘節,臺中偏漳腔,雨傘節,hōo-suànn-tsat
259,眼鏡蛇,鹿港偏泉腔,飯匙銃,pňg-sî-tshìng
259,眼鏡蛇,三峽偏泉腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,臺北偏泉腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,宜蘭偏漳腔,飯匙銃,puīnn-sî-tshìng
259,眼鏡蛇,宜蘭偏漳腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,臺南混合腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,高雄混合腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,金門偏泉腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,馬公偏泉腔,飯匙銃,pn̄g sî tshìng
259,眼鏡蛇,新竹偏泉腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,臺中偏漳腔,飯匙銃,pn̄g-sî-tshìng
259,眼鏡蛇,臺中偏漳腔,目鏡蛇,ba̍k-kiànn-tsuâ
260,蜥蜴,鹿港偏泉腔,竹虎,tik-hóo
260,蜥蜴,鹿港偏泉腔,杜定,tōo-tǐng
260,蜥蜴,三峽偏泉腔,四跤杜定,sì-kha-tōo-tīng
260,蜥蜴,三峽偏泉腔,四跤蛇仔,sì-kha-tsuâ-á
260,蜥蜴,臺北偏泉腔,四跤仔杜定,sì-kha-á-tōo-tīng
260,蜥蜴,宜蘭偏漳腔,四跤蛇仔,sì-kha-tsuâ-á
260,蜥蜴,宜蘭偏漳腔,杜定,tōo-tīng
260,蜥蜴,臺南混合腔,四跤蛇,sì-kha-tsuâ
260,蜥蜴,臺南混合腔,杜定,tōo-tīng
260,蜥蜴,高雄混合腔,杜定,tōo-tīng
260,蜥蜴,高雄混合腔,咕咕公,kū-kú-kong
260,蜥蜴,金門偏泉腔,杜定,tōo-tīng
260,蜥蜴,馬公偏泉腔,杜定,tōo-tīng
260,蜥蜴,新竹偏泉腔,杜定,tōo-tīng
260,蜥蜴,新竹偏泉腔,狗母蛇,káu-bó-tsuâ
260,蜥蜴,臺中偏漳腔,杜定,tōo-tīng
261,癩蛤蟆,鹿港偏泉腔,螿蜍,tsiunn-tsîr
261,癩蛤蟆,三峽偏泉腔,螿蜍,tsiunn-tsîr
261,癩蛤蟆,三峽偏泉腔,蟾蜍,siâm-sîr
261,癩蛤蟆,臺北偏泉腔,螿蜍,tsiunn-tsû
261,癩蛤蟆,宜蘭偏漳腔,螿蜍,tsiunn-tsî
261,癩蛤蟆,臺南混合腔,螿蜍,tsionn-tsû
261,癩蛤蟆,高雄混合腔,螿蜍,tsiunn-tsî
261,癩蛤蟆,金門偏泉腔,螿蜍,tsiunn-tsîr
261,癩蛤蟆,馬公偏泉腔,螿蜍,tsiunn-tsû
261,癩蛤蟆,新竹偏泉腔,螿蜍,tsiunn-tsîr
261,癩蛤蟆,新竹偏泉腔,螿蜍,tsiunn-tsî
261,癩蛤蟆,臺中偏漳腔,螿蜍,tsiunn-tsî
262,蛔蟲,鹿港偏泉腔,蝒蟲,bǔn-thâng
262,蛔蟲,三峽偏泉腔,蝒蟲,būn-thâng
262,蛔蟲,臺北偏泉腔,蝒蟲,būn-thâng
262,蛔蟲,宜蘭偏漳腔,蝒蟲,bīn-thâng
262,蛔蟲,臺南混合腔,蝒蟲,bīn-thâng
262,蛔蟲,高雄混合腔,蝒蟲,bīn-thâng
262,蛔蟲,金門偏泉腔,蝒蟲,būn-thâng
262,蛔蟲,馬公偏泉腔,蝒蟲,bīn-thâng
262,蛔蟲,新竹偏泉腔,蝒蟲,būn-thâng
262,蛔蟲,新竹偏泉腔,蝒蟲,gūn-thâng
262,蛔蟲,臺中偏漳腔,蝒蟲,bīn-thâng
263,蝴蝶,鹿港偏泉腔,蝶仔,ia̍h-á
263,蝴蝶,三峽偏泉腔,蝶仔,ia̍h-á
263,蝴蝶,臺北偏泉腔,蝶仔,ia̍h-á
263,蝴蝶,臺北偏泉腔,蝴蝶,ôo-tia̍p
263,蝴蝶,宜蘭偏漳腔,蝶仔,iā-á
263,蝴蝶,宜蘭偏漳腔,蝴蝶,ôo-tia̍p
263,蝴蝶,臺南混合腔,尾蝶仔,bué-ia̍h-á
263,蝴蝶,高雄混合腔,蝶仔,ia̍h-á
263,蝴蝶,高雄混合腔,蝴蝶,ôo-tia̍p
263,蝴蝶,金門偏泉腔,尾蝶,bér-ia̍h
263,蝴蝶,馬公偏泉腔,蝶婆,ia̍h-pô
263,蝴蝶,新竹偏泉腔,蝶仔,ia̍h-á
263,蝴蝶,新竹偏泉腔,蝴蝶,ôo-tia̍p
263,蝴蝶,臺中偏漳腔,蝶仔,ia̍h-á
264,蚊子,鹿港偏泉腔,烏蝛仔蠓,oo-bui-á-báng
264,蚊子,鹿港偏泉腔,草蠓,tsháu-báng
264,蚊子,鹿港偏泉腔,蠓,báng
264,蚊子,三峽偏泉腔,花蠓,hue-báng
264,蚊子,三峽偏泉腔,烏司蠓,oo-sir-báng
264,蚊子,三峽偏泉腔,蠓,báng
264,蚊子,三峽偏泉腔,躼跤蠓,lò-kha-báng
264,蚊子,臺北偏泉腔,烏司蠓仔,oo-su-báng-á
264,蚊子,臺北偏泉腔,烏蝛,oo-bui
264,蚊子,臺北偏泉腔,蠓仔,báng-á
264,蚊子,臺北偏泉腔,躼跤蠓,lò-kha-báng
264,蚊子,宜蘭偏漳腔,烏蝛仔,oo-bui-á
264,蚊子,宜蘭偏漳腔,蠓,báng
264,蚊子,宜蘭偏漳腔,躼跤蠓,lò-kha-báng
264,蚊子,臺南混合腔,烏蝛,oo-bui
264,蚊子,臺南混合腔,蠓仔,báng-á
264,蚊子,高雄混合腔,烏蝛,oo-bui
264,蚊子,高雄混合腔,蠓仔,báng-á
264,蚊子,高雄混合腔,躼跤蠓,lòr-kha-báng
264,蚊子,金門偏泉腔,蠓,báng
264,蚊子,馬公偏泉腔,蠓,báng
264,蚊子,新竹偏泉腔,蠓仔,báng-á
264,蚊子,臺中偏漳腔,蠓仔,báng-á
265,蟑螂,鹿港偏泉腔,虼蚻,ka-tsua̍h
265,蟑螂,三峽偏泉腔,虼蚻,ka-tsuā
265,蟑螂,臺北偏泉腔,虼蚻,ka-tsua̍h
265,蟑螂,宜蘭偏漳腔,虼蚻,ka-tsua̍h
265,蟑螂,臺南混合腔,虼蚻,ka-tsua̍h
265,蟑螂,高雄混合腔,虼蚻,ka-tsua̍h
265,蟑螂,金門偏泉腔,虼蚻,ka-tsua̍h
265,蟑螂,馬公偏泉腔,虼蚻,ka-tsua̍h
265,蟑螂,新竹偏泉腔,虼蚻,ka-tsua̍h
265,蟑螂,臺中偏漳腔,虼蚻,ka-tsuā
265,蟑螂,臺中偏漳腔,虼蚻,ka-tsua̍h
267,螞蟻,鹿港偏泉腔,狗蟻,káu-hiǎ
267,螞蟻,三峽偏泉腔,狗蟻,káu-hiā
267,螞蟻,臺北偏泉腔,狗蟻,káu-hiā
267,螞蟻,宜蘭偏漳腔,狗蟻,káu-hiā
267,螞蟻,臺南混合腔,狗蟻,káu-hiā
267,螞蟻,高雄混合腔,狗蟻,káu-hiā
267,螞蟻,金門偏泉腔,狗蟻,káu-hiā
267,螞蟻,馬公偏泉腔,狗蟻,káu-hiā
267,螞蟻,新竹偏泉腔,狗蟻,káu-hiā
267,螞蟻,臺中偏漳腔,狗蟻,káu-hiā
268,蟋蟀,鹿港偏泉腔,杜猴,tǒo-kâu
268,蟋蟀,鹿港偏泉腔,蟋蟀,sik-sut
268,蟋蟀,三峽偏泉腔,杜猴,tōo-kâu
268,蟋蟀,臺北偏泉腔,杜猴,tōo-kâu
268,蟋蟀,臺北偏泉腔,蟋蟀,sik-suì
268,蟋蟀,宜蘭偏漳腔,杜猴,tōo-kâu
268,蟋蟀,臺南混合腔,杜伯仔,tōo-peh-á
268,蟋蟀,臺南混合腔,蟋蟀,tik-sut
268,蟋蟀,臺南混合腔,蟋蟀仔,sih-sut-á
268,蟋蟀,高雄混合腔,杜伯仔,tōo-peh-á
268,蟋蟀,高雄混合腔,杜猴,tōo-kâu
268,蟋蟀,金門偏泉腔,杜猴,tōo-kâu
268,蟋蟀,金門偏泉腔,蟋蟀,sik-sut
268,蟋蟀,馬公偏泉腔,杜猴,tōo-kâu
268,蟋蟀,馬公偏泉腔,烏龍,oo-liông
268,蟋蟀,馬公偏泉腔,赤蜣,tshiah-kiunn
268,蟋蟀,馬公偏泉腔,蟋蟀,sik-sut
268,蟋蟀,新竹偏泉腔,杜猴,tōo-kâu
268,蟋蟀,臺中偏漳腔,杜猴,tuā-kâu
268,蟋蟀,臺中偏漳腔,蟋蟀仔,sih-sut-á
269,螳螂,鹿港偏泉腔,螳螂,tông-bông
269,螳螂,三峽偏泉腔,草猴,tsháu-kâu
269,螳螂,臺北偏泉腔,草猴,tsháu-kâu
269,螳螂,宜蘭偏漳腔,草猴,tsháu-kâu
269,螳螂,臺南混合腔,草猴,tsháu-kâu
269,螳螂,高雄混合腔,草猴,tsháu-kâu
269,螳螂,金門偏泉腔,國舅,kok-kū
269,螳螂,金門偏泉腔,樹貓,tshiū-niau
269,螳螂,馬公偏泉腔,草猴,tsháu-kâu
269,螳螂,新竹偏泉腔,草猴,tsháu-kâu
269,螳螂,新竹偏泉腔,鐵頭,thih-thâu
269,螳螂,臺中偏漳腔,草猴,tsháu-kâu
270,草蜢,鹿港偏泉腔,草蜢,tsháu-nih
270,草蜢,鹿港偏泉腔,草蜢公,tsháu-nih-kong
270,草蜢,三峽偏泉腔,草蜢公,tsháu-ni-kong
270,草蜢,臺北偏泉腔,草蜢公,tsháu-ni-kong
270,草蜢,臺北偏泉腔,草蜢仔,tsháu-nih-á
270,草蜢,宜蘭偏漳腔,草蜢,tsháu-neh
270,草蜢,宜蘭偏漳腔,草蜢公,tsháu-neh-kong
270,草蜢,臺南混合腔,草蜢仔,tsháu-meh-á
270,草蜢,臺南混合腔,草蜢仔公,tsháu-meh-á-kong
270,草蜢,高雄混合腔,草蜢仔,tsháu-meh-á
270,草蜢,金門偏泉腔,草蛉,tsháu-nih
270,草蜢,馬公偏泉腔,草蛉,tsháu-nih
270,草蜢,新竹偏泉腔,草蛉公,tsháu-nih-kong
270,草蜢,新竹偏泉腔,草蜢仔,tsháu-meh-á
270,草蜢,臺中偏漳腔,草蜢仔,tsháu-meh-á
271,金龜子,鹿港偏泉腔,金龜,kim-ku
271,金龜子,三峽偏泉腔,金龜,kim-ku
271,金龜子,三峽偏泉腔,腫米龜,tsíng-bí-ku
271,金龜子,臺北偏泉腔,金龜,kim-ku
271,金龜子,臺北偏泉腔,筍龜,sún-ku
271,金龜子,宜蘭偏漳腔,金龜,kim-ku
271,金龜子,宜蘭偏漳腔,筍龜,sún-ku
271,金龜子,臺南混合腔,金龜,kim-ku
271,金龜子,臺南混合腔,鐵金龜,thih-kim-ku
271,金龜子,高雄混合腔,金龜,kim-ku
271,金龜子,金門偏泉腔,金龜,kim-ku
271,金龜子,馬公偏泉腔,金龜,kim-ku
271,金龜子,新竹偏泉腔,金龜,kim-ku
271,金龜子,臺中偏漳腔,金龜,kim-ku
272,牛蝨子,鹿港偏泉腔,牛螕,gû-pi
272,牛蝨子,三峽偏泉腔,牛蟊,gû-moo
272,牛蝨子,臺北偏泉腔,牛螕,gû-pi
272,牛蝨子,宜蘭偏漳腔,牛螕,gû-pi
272,牛蝨子,臺南混合腔,牛螕,gû-pi
272,牛蝨子,高雄混合腔,牛蝨,gû-sat
272,牛蝨子,高雄混合腔,牛螕,gû-pi
272,牛蝨子,金門偏泉腔,牛螕,gû-pi
272,牛蝨子,馬公偏泉腔,牛肚螕,gû-tōo-pi
272,牛蝨子,新竹偏泉腔,牛螕,gû-pi
272,牛蝨子,臺中偏漳腔,牛螕,gû-pi
273,蛆,鹿港偏泉腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,三峽偏泉腔,屎龜,sái-ku
273,蛆,三峽偏泉腔,蛆,tshir
273,蛆,臺北偏泉腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,宜蘭偏漳腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,臺南混合腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,高雄混合腔,便所蟲,piān-sóo-thâng
273,蛆,高雄混合腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,金門偏泉腔,屎礐蟲,sái-ha̍k-thâng
273,蛆,馬公偏泉腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,新竹偏泉腔,屎礐仔蟲,sái-ha̍k-á-thâng
273,蛆,臺中偏漳腔,屎礐仔蟲,sái-ha̍k-á-thâng
274,鯨魚,鹿港偏泉腔,海翁,hái-ang
274,鯨魚,三峽偏泉腔,海翁,hái-ang
274,鯨魚,臺北偏泉腔,海翁,hái-ang
274,鯨魚,宜蘭偏漳腔,海翁,hái-ang
274,鯨魚,宜蘭偏漳腔,鯨魚,kiang-hî
274,鯨魚,臺南混合腔,海翁,hái-ang
274,鯨魚,高雄混合腔,海翁,hái-ang
274,鯨魚,高雄混合腔,鯨魚,kiang-hî
274,鯨魚,金門偏泉腔,海翁,hái-ang
274,鯨魚,馬公偏泉腔,海翁,hái-ang
274,鯨魚,新竹偏泉腔,海翁,hái-ang
274,鯨魚,臺中偏漳腔,海翁,hái-ang
275,毛蟹,鹿港偏泉腔,毛蟹,mn̂g-huě
275,毛蟹,三峽偏泉腔,毛蟹,mn̂g-gerē
275,毛蟹,臺北偏泉腔,毛蟹,mn̂g-huē
275,毛蟹,宜蘭偏漳腔,毛蟹,môo-hē
275,毛蟹,臺南混合腔,毛蟹,môo-hē
275,毛蟹,高雄混合腔,毛蟹,môo-hē
275,毛蟹,金門偏泉腔,毛蟹,môo-huē
275,毛蟹,馬公偏泉腔,毛蟹,môo-huē
275,毛蟹,新竹偏泉腔,毛蟹,mn̂g-huē
275,毛蟹,臺中偏漳腔,毛蟹,moo-heh
275,毛蟹,臺中偏漳腔,毛蟹,moo-hē
276,蛤蜊,鹿港偏泉腔,蜊仔,lâ-á
276,蛤蜊,三峽偏泉腔,蜊仔,lâ-á
276,蛤蜊,臺北偏泉腔,蜊仔,lâi-á
276,蛤蜊,宜蘭偏漳腔,蜊仔,lâ-á
276,蛤蜊,臺南混合腔,蜊仔,lâ-á
276,蛤蜊,高雄混合腔,蜊仔,lâ-á
276,蛤蜊,金門偏泉腔,蜊,lâ
276,蛤蜊,金門偏泉腔,蜊仔,lâi--á
276,蛤蜊,新竹偏泉腔,蜊仔,lâ-á
276,蛤蜊,新竹偏泉腔,粉蟯,hún-giô
276,蛤蜊,新竹偏泉腔,國姓蟯,kok-sìng-giô
276,蛤蜊,新竹偏泉腔,公大,kong-tāi
276,蛤蜊,臺中偏漳腔,蚶仔,ham-á
277,田螺,鹿港偏泉腔,田螺,tshân-lêr
277,田螺,三峽偏泉腔,田螺,tshân-lêr
277,田螺,臺北偏泉腔,田螺,tshân-lê
277,田螺,宜蘭偏漳腔,田螺,tshân-lê
277,田螺,臺南混合腔,田螺,tshân-lê
277,田螺,高雄混合腔,田螺,tshân-lê
277,田螺,金門偏泉腔,田螺,tshân-lêr
277,田螺,馬公偏泉腔,田螺,tshân-lê
277,田螺,新竹偏泉腔,田螺,tshân-lêr
277,田螺,新竹偏泉腔,田螺,tshân-lê
277,田螺,臺中偏漳腔,田螺,tshân-lê
278,九孔,臺北偏泉腔,九孔,káu-kháng
278,九孔,鹿港偏泉腔,九孔,káu-kháng
278,九孔,三峽偏泉腔,九孔,káu-kháng
278,九孔,宜蘭偏漳腔,九孔,káu-kháng
278,九孔,臺南混合腔,九孔,kiú-khóng
278,九孔,高雄混合腔,九孔,káu-kháng
278,九孔,金門偏泉腔,九孔,káu-kháng
278,九孔,馬公偏泉腔,九孔,káu-kháng
278,九孔,新竹偏泉腔,九空仔,káu-khang-á
278,九孔,臺中偏漳腔,九孔,káu-kháng
279,蝸牛,鹿港偏泉腔,露螺,lǒo-lêr
279,蝸牛,三峽偏泉腔,露螺,lōo-lêr
279,蝸牛,臺北偏泉腔,露螺,lōo-lê
279,蝸牛,宜蘭偏漳腔,露螺,lōo-lê
279,蝸牛,臺南混合腔,露螺,lōo-lê
279,蝸牛,高雄混合腔,露螺,lōo-lê
279,蝸牛,金門偏泉腔,露螺,lōo-lêr
279,蝸牛,馬公偏泉腔,露螺,lōo-lê
279,蝸牛,新竹偏泉腔,露螺,lōo-lêr
279,蝸牛,新竹偏泉腔,露螺,lōo-lê
279,蝸牛,臺中偏漳腔,露螺,lōo-lê
280,樹枝,鹿港偏泉腔,樹枝,tshiǔ-ki
280,樹枝,三峽偏泉腔,樹枝,tshiū-ki
280,樹枝,臺北偏泉腔,樹枝,tshiū-ki
280,樹枝,宜蘭偏漳腔,樹枝,tshiū-ki
280,樹枝,臺南混合腔,樹枝,tshiū-ki
280,樹枝,高雄混合腔,樹枝,tshiū-ki
280,樹枝,金門偏泉腔,樹枝,tshiū-ki
280,樹枝,馬公偏泉腔,樹枝,tshiū-ki
280,樹枝,新竹偏泉腔,樹枝,tshiū-ki
280,樹枝,臺中偏漳腔,樹枝,tshiū-ki
281,樹蔭,鹿港偏泉腔,樹蔭,tshiǔ-ńg
281,樹蔭,三峽偏泉腔,樹蔭,tshiū-ńg
281,樹蔭,臺北偏泉腔,樹蔭,tshiū-ńg
281,樹蔭,宜蘭偏漳腔,樹影,tshiū-iánn
281,樹蔭,宜蘭偏漳腔,樹蔭,tshiū-ńg
281,樹蔭,臺南混合腔,樹影,tshiū-iánn
281,樹蔭,臺南混合腔,樹蔭,tshiū-ńg
281,樹蔭,高雄混合腔,樹蔭,tshiū-ńg
281,樹蔭,金門偏泉腔,樹蔭,tshiū-ńg
281,樹蔭,馬公偏泉腔,樹蔭,tshiū-ńg
281,樹蔭,新竹偏泉腔,樹蔭,tshiū-ńg
281,樹蔭,新竹偏泉腔,樹影,tshiū-iánn
281,樹蔭,臺中偏漳腔,樹蔭,tshiū-ńg
282,榕樹,鹿港偏泉腔,榕,tsîng
282,榕樹,三峽偏泉腔,榕樹,tsîng-tshiū
282,榕樹,臺北偏泉腔,榕,tshîng
282,榕樹,宜蘭偏漳腔,榕仔,siông-á
282,榕樹,宜蘭偏漳腔,榕仔,tshîng-á
282,榕樹,臺南混合腔,榕仔,tshîng-á
282,榕樹,高雄混合腔,榕仔,tshîng-á
282,榕樹,金門偏泉腔,樹影,tshiū-iánn
282,榕樹,馬公偏泉腔,榕仔樹,tshîng-á-tshiū
282,榕樹,新竹偏泉腔,榕樹,tsîng-tshiū
282,榕樹,臺中偏漳腔,榕仔,tshîng-á
283,桑樹,鹿港偏泉腔,桑材樹,sng-tsâi-tshiǔ
283,桑樹,三峽偏泉腔,娘仔樹,niû-á-tshiū
283,桑樹,臺北偏泉腔,桑材仔,sng-tsâi-á
283,桑樹,宜蘭偏漳腔,娘仔樹,niû-á-tshiū
283,桑樹,臺南混合腔,鹽酸仔欉,iâm-sng-á-tsâng
283,桑樹,高雄混合腔,桑材,sng-tsâi
283,桑樹,金門偏泉腔,桑材,sng-tsâi
283,桑樹,馬公偏泉腔,桑椹,sng-suî
283,桑樹,新竹偏泉腔,桑材,sng-tsâi
283,桑樹,臺中偏漳腔,桑椹,sng-suî
284,樟樹,鹿港偏泉腔,樟仔,tsiunn-á
284,樟樹,三峽偏泉腔,樟仔,tsiunn-á
284,樟樹,臺北偏泉腔,樟仔,tsiunn-á
284,樟樹,宜蘭偏漳腔,樟仔,tsiunn-á
284,樟樹,臺南混合腔,樟仔,tsionn-á
284,樟樹,高雄混合腔,樟仔,tsiunn-á
284,樟樹,金門偏泉腔,樟,tsiunn
284,樟樹,馬公偏泉腔,樟,tsiunn
284,樟樹,新竹偏泉腔,樟仔樹,tsiunn-á-tshiū
284,樟樹,臺中偏漳腔,樟仔,tsiunn-á
285,竹子,鹿港偏泉腔,竹,tik
285,竹子,三峽偏泉腔,竹,tik
285,竹子,臺北偏泉腔,竹,tik
285,竹子,宜蘭偏漳腔,竹,tik
285,竹子,臺南混合腔,竹,tik
285,竹子,高雄混合腔,竹仔,tik-á
285,竹子,金門偏泉腔,竹,tik
285,竹子,馬公偏泉腔,竹,tik
285,竹子,新竹偏泉腔,竹仔,tik-á
285,竹子,臺中偏漳腔,竹仔,tik-á
286,蓮蕉花,鹿港偏泉腔,蓮蕉,liân-tsiau
286,蓮蕉花,三峽偏泉腔,蓮蕉花,liân-tsiau-hue
286,蓮蕉花,三峽偏泉腔,蓮蕉花,lân-tsiau-hue
286,蓮蕉花,臺北偏泉腔,蓮蕉花,liân-tsiau-hue
286,蓮蕉花,臺北偏泉腔,蓮蕉花,lân-tsiau-hue
286,蓮蕉花,宜蘭偏漳腔,蓮蕉,lân-tsiau
286,蓮蕉花,臺南混合腔,蓮蕉,liân-tsiau
286,蓮蕉花,高雄混合腔,蓮蕉,liân-tsiau
286,蓮蕉花,金門偏泉腔,蓮蕉花,lân-tsiau-hue
286,蓮蕉花,馬公偏泉腔,蓮蕉,lân-tsiau
286,蓮蕉花,新竹偏泉腔,蓮蕉,liân-tsiau
286,蓮蕉花,臺中偏漳腔,蓮蕉花,liân-tsio-hue
287,稗草,鹿港偏泉腔,稗仔,phuě-á
287,稗草,三峽偏泉腔,稗仔,phuē-á
287,稗草,臺北偏泉腔,稗仔,phuē-á
287,稗草,宜蘭偏漳腔,稗仔,phē-á
287,稗草,臺南混合腔,大窟草,tuā-khut-tsháu
287,稗草,臺南混合腔,稗仔,phē-á
287,稗草,高雄混合腔,稗仔,phē-á
287,稗草,金門偏泉腔,稗,phuē
287,稗草,馬公偏泉腔,稗,phuē
287,稗草,新竹偏泉腔,稗仔,phuē-á
287,稗草,臺中偏漳腔,稗仔草,phē-á-tsháu
288,糙米,鹿港偏泉腔,糙米,tshò-bí
288,糙米,三峽偏泉腔,糙米,tshò-bí
288,糙米,臺北偏泉腔,糙米,tshò-bí
288,糙米,宜蘭偏漳腔,糙米,tshò-bí
288,糙米,臺南混合腔,糙米,tshòr-bí
288,糙米,高雄混合腔,糙米,tshòr-bí
288,糙米,金門偏泉腔,糙米,tshò-bí
288,糙米,馬公偏泉腔,糙米,tshò-bí
288,糙米,新竹偏泉腔,糙米,tshò-bí
288,糙米,臺中偏漳腔,糙米,tshò-bí
289,薑母,鹿港偏泉腔,薑母,kiunn-bú
289,薑母,三峽偏泉腔,薑母,kiunn-bó
