詞目id,義項id,例句順序,漢字,羅馬字,華語,音檔檔名
1184,1607,1,未來社會會變按怎，真歹講。,"Bī-lâi siā-huē ē piàn án-tsuánn, tsin pháinn-kóng.",未來社會會變怎樣，真難說。,1184-1-1
1185,1608,1,後日遮欲舉行一場歌唱比賽。,Āu--ji̍t tsia beh kí-hîng tsi̍t tiûnn kua-tshiùnn pí-sài.,後天這裡要舉辦一場歌唱比賽。,1185-1-1
1186,1609,1,現代的水觳仔塑膠做的較濟。,Hiān-tāi ê tsuí-khok-á sok-ka tsò--ê khah tsē.,現代的水瓢多半是塑膠製的。,1186-1-1
1187,1610,1,伊車駛傷緊，駛甲規台車反輾轉。,"I tshia sái siunn kín, sái kah kui tâi tshia píng-liàn-tńg.",他車子開得太快，開到整臺車都翻過來。,1187-1-1
1188,1612,1,腹肚若水櫃，胸坎若樓梯。,"Pak-tóo ná tsuí-kuī, hing-khám ná lâu-thui.",肚子像水櫃一樣凸起，胸前肋骨像樓梯一根根突現。形容人營養不良的模樣。,1188-2-1
1189,1613,1,伊的歹癖一大堆，連鞭咬指甲，連鞭搝頭鬃。,"I ê pháinn-phiah tsi̍t-tuā-tui, liâm-mi kā tsíng-kah, liâm-mi khiú thâu-tsang.",他的壞習慣一大堆，一下咬指甲，一下拉拔頭髮。,1189-1-1
1199,1625,1,伊毋願共你鬥相共，你就揣別人嘛。,"I m̄-guān kā lí tàu-sann-kāng, lí tō tshuē pa̍t-lâng--mah.",他不願意幫你，你就找別人嘛。,1199-1-1
1199,1626,1,伊連一點仔機會都毋予我，我誠毋願。,"I liân tsi̍t-tiám-á ki-huē to m̄ hōo--guá, guá tsiânn m̄-guān.",他連一點機會都不給我，我真不甘心。,1199-2-1
1202,1629,1,辦手續,pān tshiú-sio̍k,辦手續,1202-1-1
1206,1635,1,這件代誌若是傳出去，會真歹聽。,"Tsit kiānn tāi-tsì nā-sī thuân--tshut-khì, ē tsin pháinn-thiann.",這件事情要是傳出去，會很不光彩。,1206-1-1
1209,1638,1,三更半暝走去墓仔埔，你敢毋驚去看著歹物仔？,"Sann-kenn-puànn-mê tsáu-khì bōng-á-poo, lí kám m̄ kiann khì khuànn-tio̍h pháinn-mih-á?",半夜跑到墓園去，你難道不怕看到鬼嗎？,1209-1-1
1210,1639,1,大地動會予人心驚膽嚇。,Tuā tē-tāng ē hōo lâng sim-kiann-tánn-hiannh.,大地震會讓人心驚膽顫。,1210-1-1
1211,1640,1,手䘼著火矣。,Tshiú-ńg to̍h-hué--ah.,袖子著火了。,1211-1-1
1211,1640,2,電火,tiān-hué,電燈,1211-1-2
1211,1641,1,火化去矣。,Hué hua--khì--ah.,火熄滅了啦。即指沒力了、沒勁了。,1211-2-1
1211,1641,2,火大,hué-tuā,生氣,1211-2-2
1211,1642,1,火氣大,hué-khì tuā,火氣大,1211-3-1
1211,1642,2,退火,thè-hué,退火,1211-3-2
1212,1643,1,雞跤爪,ke-kha-jiáu,雞爪,1212-1-1
1212,1644,1,歹手爪,pháinn-tshiú-jiáu,不規矩的手。意指有不良習慣或行為。,1212-2-1
1213,1645,1,有其父必有其子。,Iú kî hū pit iú kî tsú.,有其父必有其子。,1213-1-1
1214,1646,1,這爿,tsit pîng,這邊,1214-1-1
1214,1646,2,東爿,tang-pîng,東邊,1214-1-2
1214,1646,3,一爿,tsi̍t pîng,一旁、一邊,1214-1-3
1214,1647,1,王梨爿,ông-lâi pîng,鳳梨片,1214-2-1
1214,1648,1,一爿西瓜,tsi̍t pîng si-kue,一片西瓜,1214-3-1
1214,1649,1,木字爿,bo̍k jī-pîng,木字旁,1214-4-1
1215,1650,1,名片,bîng-phìnn,名片,1215-1-1
1215,1651,1,一片枋仔,tsi̍t phìnn pang-á,一片木板,1215-2-1
1215,1652,1,歹癖片,pháinn phiah-phìnn,不好的習性,1215-3-1
1216,1653,1,這支螺絲的牙萎去矣！,Tsit ki lôo-si ê gâ ui--khì--ah!,這支螺絲的螺紋已經磨損了！,1216-1-1
1217,1654,1,虎牙,hóo gê,虎牙,1217-1-1
1217,1654,2,象牙,tshiūnn gê,象牙,1217-1-2
1217,1655,1,今仔日十六，有真濟生理人做牙。,"Kin-á-ji̍t tsa̍p-la̍k, ū tsin tsē sing-lí-lâng tsò-gê.",今天十六號，有很多生意人備牲祭拜土地公和孤魂野鬼。,1217-2-1
1219,1658,1,國王,kok-ông,國王,1219-1-1
1219,1659,1,囡仔王,gín-á-ông,孩子王,1219-2-1
1219,1659,2,蜂王,phang-ông,蜂王,1219-2-2
1219,1659,3,王牌,ông-pâi,王牌,1219-2-3
1219,1660,1,王昭君,Ông Tsiau-kun,王昭君,1219-3-1
1219,1661,1,王見王,ông-kiàn-ông,死棋,1219-4-1
1221,1663,1,若想著這層代誌，我就火大。,"Nā siūnn-tio̍h tsit tsân tāi-tsì, guá tō hué-tuā.",只要一想到這件事情，我就感到非常生氣。,1221-1-1
1223,1665,1,阮阿公攑爪仔欲去整理菜園。,Guán a-kong gia̍h jiáu-á beh khì tsíng-lí tshài-hn̂g.,我爺爺拿了耙子要去整理菜園。,1223-1-1
1223,1666,1,彼隻貓仔的爪仔真利，毋通去予伊抓著。,"Hit tsiah niau-á ê jiáu-á tsin lāi, m̄-thang khì hōo i jiàu--tio̍h.",那隻貓的爪子很銳利，不要被牠抓到。,1223-2-1
1235,1679,1,火舌湠去誠緊，一目𥍉仔就共厝燒了了矣。,"Hué-tsi̍h thuànn--khì tsiânn kín, tsi̍t-ba̍k-nih-á tō kā tshù sio-liáu-liáu--ah.",火苗擴散得很快，一下子就把房子燒光光了。,1235-1-1
1240,1684,1,阿三仔彼箍無路用人，干焦會曉佇牛牢內觸牛母爾爾。,"A-sam--á hit khoo bô-lōo-īng lâng, kan-na ē-hiáu tī gû-tiâu-lāi tak gû-bó niā-niā.",阿三那個沒有用的人，只會在自己家欺負家人，對外卻完全不敢吭聲。,1240-1-1
1252,1698,1,放煙火的時陣愛注意，毋通去予火星噴著。,"Pàng ian-hué ê sî-tsūn ài tsù-ì, m̄-thang khì hōo hué-tshenn phùn--tio̍h.",施放煙火的時候要小心，才不會被火花噴到。,1252-2-1
1253,1699,1,這馬較少人咧燃火炭。,Tsit-má khah tsió lâng teh hiânn hué-thuànn.,現在比較少人用木炭燒火。,1253-1-1
1255,1702,1,交朋友愛細膩，毋通去交著王哥柳哥。,"Kau pîng-iú ài sè-jī, m̄-thang khì kau-tio̍h Ông--ko-Liú--ko.",交朋友要小心，不要交到不三不四的人。,1255-2-1
1259,1707,1,你哪會使攑牛捽仔咧捽囡仔？,Lí ná ē-sái gia̍h gû-sut-á teh sut gín-á?,你怎麼可以拿趕牛鞭打小孩呢？,1259-1-1
1263,1712,1,這个牛牢內底有幾隻牛犅？,Tsit ê gû-tiâu lāi-té ū kuí tsiah gû-káng?,這個牛舍裡有幾隻公牛？,1263-1-1
1264,1714,1,伊定定佇這箍圍仔佮人冤家相拍，又閣欲食毋討趁，袂輸王爺咧。,"I tiānn-tiānn tī tsit-khoo-uî-á kah lâng uan-ke sio-phah, iū-koh beh tsia̍h m̄ thó-thàn, bē-su ông-iâ--leh.",他時常在這地方與人吵架、鬥毆，而且好吃懶做，簡直就像個王爺。,1264-2-1
1277,1729,1,鐵齒銅牙槽,thih-khí tâng gê-tsô,比喻頑固嘴硬的人,1277-1-1
1283,1735,1,舊年遮火燒山，樹仔攏燒了了。,"Kū-nî tsia hué-sio-suann, tshiū-á lóng sio-liáu-liáu.",去年這裡山林失火，樹木全部燒光了。,1283-1-1
1284,1736,1,巷仔口火燒厝，足濟人圍咧看。,"Hāng-á-kháu hué-sio-tshù, tsiok tsē lâng uî leh khuànn.",巷口屋子起火，很多人圍觀。,1284-1-1
1285,1737,1,就是天氣傷熱，毋才會火燒埔。,"Tō sī thinn-khì siunn jua̍h, m̄-tsiah ē hué-sio-poo.",就是因為天氣太熱，荒地才會起火燃燒。,1285-1-1
1285,1738,1,六月火燒埔，真正會熱死人。,"La̍k--gue̍h hué-sio-poo, tsin-tsiànn ē jua̍h-sí lâng.",像這種六月炎熱的天氣，真的會熱死人。,1285-2-1
1286,1740,1,伊敢若牛螕咧，欲叫伊出錢是無可能的代誌。,"I kánn-ná gû-pi--leh, beh kiò i tshut tsînn sī bô khó-lîng ê tāi-tsì.",他就像牛螕一樣，要叫他出錢是不可能的事情。,1286-2-1
1287,1742,1,牛頭馬面,gû-thâu-bé-bīn,牛頭馬面,1287-2-1
1291,1748,1,你講話若火雞母咧。,Lí kóng-uē ná hué-ke-bó--leh.,你說起話來像老母雞一樣。,1291-2-1
1292,1749,1,世交,sè-kau,兩代以上的交誼,1292-1-1
1292,1750,1,世事,sè-sū,世事,1292-2-1
1292,1750,2,世局,sè-kio̍k,世局,1292-2-2
1293,1751,1,一世人,tsi̍t-sì-lâng,一輩子,1293-1-1
1293,1752,1,出世,tshut-sì,出生,1293-2-1
1294,1754,1,丙等,piánn tíng,丙等,1294-2-1
1295,1755,1,一家之主,it ka tsi tsú,一家之主,1295-1-1
1295,1756,1,苦主,khóo-tsú,苦主,1295-2-1
1295,1756,2,厝主,tshù-tsú,屋主,1295-2-2
1295,1757,1,賓主盡歡,pin tsú tsīn huan,賓主盡歡,1295-3-1
1295,1758,1,感謝主,kám-siā Tsú,感謝主,1295-4-1
1296,1759,1,捾桶仔丼一聲就落入去鼓井內矣。,Kuānn-tháng-á tôm tsi̍t siann tō lak ji̍p-khì kóo-tsénn-lāi--ah.,水桶咚的一聲就投進水井內了。,1296-1-1
1297,1760,1,糋好的芋仔糋欲食進前愛閣乍一下。,Tsìnn hó ê ōo-á-tsìnn beh tsia̍h tsìn-tsîng ài koh tsànn--tsi̍t-ē.,炸好的芋頭要吃之前得先過油再稍微炸一下。,1297-1-1
1298,1761,1,你今仔日欲出去𨑨迌乎？,Lí kin-á-ji̍t beh tshut-khì tshit-thô--honnh?,你今天要出去玩對吧？,1298-1-1
1298,1762,1,花是你送的乎？免歹勢啦！,Hue sī lí sàng--ê--honnh? Bián pháinn-sè--lah!,花是你送的對吧？別不好意思啦！,1298-2-1
1299,1763,1,時機䆀䆀，我的錢水有較乏。,"Sî-ki bái-bái, guá ê tsînn-tsuí ū khah ha̍t.",景氣不好，我的金錢較欠缺。,1299-1-1
1300,1764,1,囡仔,gín-á,小孩子,1300-1-1
1300,1765,1,抿仔,bín-á,刷子,1300-2-1
1300,1766,1,大伯仔,tuā-peh-á,婦人稱夫兄,1300-3-1
1300,1767,1,土匪仔,thóo-huí-á,土匪,1300-4-1
1300,1767,2,警察仔,kíng-tshat-á,警察,1300-4-2
1300,1768,1,姨仔,î-á,妻子的姊妹,1300-5-1
1300,1768,2,舅仔,kū-á,舅子,1300-5-2
1300,1768,3,小叔仔,sió-tsik-á,小叔,1300-5-3
1300,1769,1,邊仔,pinn--á,旁邊,1300-6-1
1300,1769,2,尾仔,bué--á,末梢,1300-6-2
1300,1770,1,今仔日,kin-á-ji̍t,今天,1300-7-1
1300,1771,1,邱仔罔舍,Khu-á-bóng--sià,邱大老爺,1300-8-1
1300,1772,1,翁仔某,ang-á-bóo,夫妻,1300-9-1
1300,1772,2,爸仔囝,pē-á-kiánn,父子,1300-9-2
1300,1773,1,三仔五,sann-á-gōo,三百五十,1300-10-1
1300,1774,1,小可仔,sió-khuá-á,稍微、一點點,1300-11-1
1300,1774,2,一點仔,tsi̍t-tiám-á,一點點,1300-11-2
1300,1775,1,舊舊仔,kū-kū--á,舊舊的,1300-12-1
1300,1775,2,少少仔,tsió-tsió--á,少少的,1300-12-2
1300,1776,1,久久仔,kú-kú--á,偶爾,1300-13-1
1300,1776,2,笑笑仔,tshiò-tshiò--á,笑笑的,1300-13-2
1300,1777,1,明仔,Bîng--á,阿明,1300-14-1
1300,1777,2,嫂仔,só--á,嫂子,1300-14-2
1301,1778,1,仕途,sū-tôo,仕途,1301-1-1
1301,1778,2,出仕,tshut-sū,做官,1301-1-2
1301,1779,1,紅仕,âng-sū,紅仕,1301-2-1
1302,1780,1,交付,kau-hù,交付,1302-1-1
1302,1780,2,付錢,hù tsînn,付錢,1302-1-2
1303,1781,1,求仙,kiû sian,求仙,1303-1-1
1303,1781,2,八仙過海,pat-sian kuè-hái,八仙過海,1303-1-2
1303,1782,1,相命仙,siòng-miā-sian,算命先生,1303-2-1
1303,1783,1,王祿仔仙,ông-lo̍k-á-sian,走江湖賣藝為生的人,1303-3-1
1303,1783,2,酒仙,tsiú-sian,嗜酒的人,1303-3-2
1303,1784,1,仙講都毋聽。,Sian kóng to m̄ thiann.,怎麼說都不肯聽。,1303-4-1
1303,1784,2,仙都毋通做歹囝。,Sian to m̄-thang tsò pháinn-kiánn.,無論如何都不要成為浪蕩子。,1303-4-2
1304,1785,1,一仙錢,tsi̍t sián tsînn,一分錢,1304-1-1
1305,1786,1,仝款,kāng-khuán,同樣,1305-1-1
1305,1786,2,無仝,bô kāng,不同,1305-1-2
1306,1787,1,時代,sî-tāi,時代,1306-1-1
1306,1787,2,現代,hiān-tāi,現代,1306-1-2
1306,1788,1,第二代,tē-jī tāi,第二代,1306-2-1
1307,1789,1,第三代,tē-sann tē,第三代,1307-1-1
1307,1789,2,後代,āu-tē,後代,1307-1-2
1308,1790,1,代誌,tāi-tsì,事情,1308-1-1
1308,1790,2,可憐代,khó-liân-tāi,不幸事件,1308-1-2
1309,1791,1,召集令,tiàu-tsi̍p-līng,召集令,1309-1-1
1309,1792,1,夏令時間,hā-līng sî-kan,夏令時間,1309-2-1
1309,1792,2,時令,sî-līng,時令,1309-2-2
1309,1793,1,令尊,līng-tsun,令尊,1309-3-1
1309,1793,2,令堂,līng-tông,令堂,1309-3-2
1310,1794,1,以你的經驗來看，這件代誌是按怎發生的？,"Í lí ê king-giām lâi khuànn, tsit kiānn tāi-tsì sī án-tsuánn huat-sing--ê?",以你的經驗來看，這件事是怎麼發生的？,1310-1-1
1310,1795,1,新店溪以南,Sin-tiàm-khe í lâm,新店溪以南,1310-2-1
1310,1795,2,三千以上,sann-tshing í-siōng,三千以上,1310-2-2
1311,1796,1,大兄,tuā-hiann,大哥,1311-1-1
1311,1796,2,表兄,piáu-hiann,表哥,1311-1-2
1311,1797,1,李兄,Lí hiann,李兄,1311-2-1
1312,1798,1,冊皮,tsheh-phuê,封面,1312-1-1
1312,1798,2,冊店,tsheh-tiàm,書店,1312-1-2
1312,1798,3,買冊,bé tsheh,買書,1312-1-3
1312,1799,1,第一冊,tē-it tsheh,第一冊,1312-2-1
1314,1802,1,仙人拍鼓有時錯，跤步踏差啥人無？,"Sian-jîn phah kóo iú sî tshò, kha-pōo ta̍h-tsha siánn-lâng bô?",仙人打鼓也會有差錯，何況凡人？比喻誰能無過。,1314-1-1
1315,1804,1,伊媠甲若仙女。,I suí kah ná sian-lí.,他美得像仙女。,1315-2-1
1316,1806,1,伊的病哪會好甲遐爾仔緊？敢是去食著仙丹？,I ê pēnn ná ē hó kah hiah-nī-á kín? Kám-sī khì tsia̍h-tio̍h sian-tan?,他的病怎麼好得那麼快？難道是吃到仙丹？,1316-2-1
1318,1809,1,你想欲判我的罪，著愛有充分的證據。,"Lí siūnn-beh phuànn guá ê tsuē, tio̍h-ài ū tshiong-hun ê tsìng-kì.",你想要定我的罪，必須要有充分的證據。,1318-1-1
1320,1812,1,這種餅世代相傳已經規百年矣。,Tsit tsióng piánn sè-tāi siong-thuân í-king kui pah nî--ah.,這種餅世代相傳已經幾百年了。,1320-2-1
1323,1815,1,代先明呼明唱，才袂後日仔毋認數。,"Tāi-sing bîng-hoo bîng-tshiàng, tsiah bē āu-ji̍t-á m̄ jīn-siàu.",事先講明，以後才不會不認帳。,1323-1-1
1323,1816,1,你做代先。,Lí tsò tāi-sing.,你帶頭。,1323-2-1
1323,1817,1,拄著危險，伊攏走代先。,"Tú-tio̍h guî-hiám, i lóng tsáu tāi-sing.",遇到危險，他都跑在最前頭。,1323-3-1
1324,1818,1,腦充血,náu-tshiong-hiat,腦充血,1324-1-1
1325,1819,1,𪜶兩兄弟的感情真好。,In nn̄g hiann-tī ê kám-tsîng tsin hó.,他們兄弟倆的感情很好。,1325-1-1
1325,1820,1,阮這陣兄弟已經熟似十幾冬矣。,Guán tsit tīn hiann-tī í-king si̍k-sāi tsa̍p-kuí tang--ah.,我們這群朋友已經認識十幾年了。,1325-2-1
1325,1821,1,今仔日佇西門町有一陣兄弟咧捙拚。,Kin-á-ji̍t tī Se-mn̂g-ting ū tsi̍t tīn hiann-tī teh tshia-piànn.,今天在西門町有一群黑道在火拼。,1325-3-1
1329,1827,1,今年的雨水真充足，稻仔結了誠飽穗。,"Kin-nî ê hōo-tsuí tsin tshiong-tsiok, tiū-á kiat liáu tsiânn pá-suī.",今年的雨水很充足，水稻長得很飽滿。,1329-1-1
1330,1828,1,世事亂紛紛。,Sè-sū luān hun-hun.,人間的事很煩擾。,1330-1-1
1330,1829,1,人情世事,jîn-tsîng-sè-sū,人情世故,1330-2-1
1332,1831,1,彼間冊店的冊真濟。,Hit king tsheh-tiàm ê tsheh tsin tsē.,那間書店的書很多。,1332-1-1
1334,1834,1,予𪜶兩个去仙拚仙，咱蹛邊仔看戲就好。,"Hōo in nn̄g ê khì sian-piànn-sian, lán tuà pinn--á khuànn hì tō hó.",讓他們去拚鬥，我們在旁邊看戲就好。,1334-1-1
1335,1835,1,𪜶兩个是仝爸各母的兄弟。,In nn̄g ê sī kāng-pē-koh-bú ê hiann-tī.,他們兩個是同父異母的兄弟。,1335-1-1
1336,1837,1,伊代表公司來開會。,I tāi-piáu kong-si lâi khui-huē.,他代表公司來開會。,1336-2-1
1339,1842,1,明仔載以前愛共代誌做予伊好勢。,Bîn-á-tsài í-tsîng ài kā tāi-tsì tsò hōo i hó-sè.,明天以前必須把事情處理好。,1339-1-1
1340,1843,1,世俗人有誠濟代誌看袂開。,Sè-sio̍k-lâng ū tsiânn tsē tāi-tsì khuànn bē khui.,凡人有很多事情看不開。,1340-1-1
1341,1845,1,囡仔離跤手以後你就輕鬆矣。,Gín-á lī-kha-tshiú í-āu lí tō khin-sang--ah.,孩子長大離家以後你就輕鬆了。,1341-1-1
1342,1846,1,今仔日的會議由伊來主持。,Kin-á-ji̍t ê huē-gī iû i lâi tsú-tshî.,今天的會議由他來主持。,1342-1-1
1345,1850,1,世界甜,sè-kài tinn,超級甜,1345-2-1
1345,1850,2,世界貴,sè-kài kuì,超級貴,1345-2-2
1347,1852,1,伊做生理會當成功，主要的原因就是認真拍拚。,"I tsò-sing-lí ē-tàng sîng-kong, tsú-iàu ê guân-in tō sī jīn-tsin phah-piànn.",他經商成功，主要的原因就是認真努力。,1347-1-1
1348,1853,1,伊是阮兄哥。,I sī guán hiann-ko.,他是我哥哥。,1348-1-1
1348,1854,1,內山兄哥,lāi-suann hiann-ko,住在深山裡的男性，又指老實的莊稼人。,1348-2-1
1353,1861,1,主動的態度佮拍拚的精神是做人成功的基本條件。,Tsú-tōng ê thāi-tōo kah phah-piànn ê tsing-sîn sī tsò-lâng sîng-kong ê ki-pún tiâu-kiānn.,主動的態度和奮鬥的精神是做人成功的基本條件。,1353-1-1
1356,1864,1,你對這件代誌有啥物主張？,Lí tuì tsit kiānn tāi-tsì ū siánn-mih tsú-tiunn?,你對這件事情有什麼看法？,1356-1-1
1356,1865,1,我主張咱愛堅持到底，毋通妥協。,"Guá tsú-tiunn lán ài kian-tshî kàu-té, m̄-thang thò-hia̍p.",我認為我們應該堅持到底，不要妥協。,1356-2-1
1357,1866,1,出家人著愛看破世情。,Tshut-ke-lâng tio̍h-ài khuànn-phuà sè-tsîng.,出家人必須要看破世間瑣事。,1357-1-1
1358,1867,1,我今仔日無閒，公司的代誌才勞煩你代理一下。,"Guá kin-á-ji̍t bô-îng, kong-si ê tāi-tsì tsiah lô-huân lí tāi-lí--tsi̍t-ē.",我今天很忙，公司的事情就麻煩你代理一下。,1358-1-1
1360,1869,1,這兩个皮包仔看著仝款仔仝款。,Tsit nn̄g ê phuê-pau-á khuànn tio̍h kāng-khuán-á-kāng-khuán.,這兩個皮包看起來一模一樣。,1360-1-1
1361,1870,1,這張批麻煩你替我代筆一下。,Tsit tiunn phue mâ-huân lí thè guá tāi-pit--tsi̍t-ē.,這封信麻煩你幫我代寫一下。,1361-1-1
1363,1872,1,世間人攏真自私，干焦知影顧家己的利益。,"Sè-kan-lâng lóng tsin tsū-su, kan-na tsai-iánn kòo ka-kī ê lī-ik.",世人都自私，只知道顧自己的利益。,1363-1-1
1364,1873,1,伊是阮兄嫂。,I sī guán hiann-só.,他是我嫂嫂。,1364-1-1
1365,1874,1,這層代誌予你主意就好。,Tsit tsân tāi-tsì hōo lí tsú-ì tō hó.,這件事情由你做主就可以了。,1365-1-1
1365,1875,1,這是啥人的主意？,Tse sī  siánn-lâng ê tsú-ì?,這是誰的意見？,1365-2-1
1367,1877,1,且慢一下,tshiánn-bān--tsi̍t-ē,等一下,1367-1-1
1368,1878,1,新正年頭，規个社會充滿快樂的氣氛。,"Sin-tsiann-nî-thâu, kui-ê siā-huē tshiong-buán khuài-lo̍k ê khì-hun.",新的一年剛剛開始，整個社會充滿了快樂的氣氛。,1368-1-1
1370,1880,1,厝內大細項代誌攏是伊咧發落。,Tshù-lāi tuā-sè hāng tāi-tsì lóng sī i teh hua̍t-lo̍h.,家裡面大小事情都是他在處理。,1370-1-1
1372,1882,1,這層代誌你會當請伊代辦。,Tsit tsân tāi-tsì lí ē-tàng tshiánn i tāi-pān.,這件事情你可以請他代辦。,1372-1-1
1376,1886,1,冬天,tang-thinn,冬天,1376-1-1
1376,1886,2,冬筍,tang-sún,冬筍,1376-1-2
1376,1887,1,一冬,tsi̍t tang,一年,1376-2-1
1376,1888,1,好年冬,hó-nî-tang,農作物收成好的年份,1376-3-1
1376,1889,1,六月冬,la̍k-gue̍h-tang,第一期稻作的收成季,1376-4-1
1377,1890,1,凹落去,nah--lo̍h-khì,凹下去,1377-1-1
1377,1891,1,彼條路中央有一凹，你著愛較細膩咧。,"Hit tiâu lōo tiong-ng ū tsi̍t nah, lí tio̍h-ài khah sè-jī--leh.",那條路中央有一個坑，你要小心點。,1377-2-1
1378,1892,1,出好囝孫,tshut hó kiánn-sun,蘊育優秀的後代,1378-1-1
1378,1892,2,出代誌,tshut-tāi-tsì,發生事情,1378-1-2
1378,1893,1,出泉,tshut tsuânn,泉水湧出,1378-2-1
1378,1893,2,出日頭,tshut-ji̍t-thâu,出太陽,1378-2-2
1378,1894,1,出國,tshut-kok,出國,1378-3-1
1378,1894,2,出社會,tshut-siā-huē,出社會,1378-3-2
1378,1895,1,出界,tshut-kài,出界,1378-4-1
1378,1895,2,二十出,jī-tsa̍p-tshut,二十多,1378-4-2
1378,1896,1,芥菜當咧出,kuà-tshài tng-teh tshut,芥菜正出產,1378-5-1
1378,1896,2,遮出柳丁,tsia tshut liú-ting,這裡出產柳丁,1378-5-2
1378,1897,1,出錢,tshut-tsînn,出錢,1378-6-1
1378,1897,2,出菜,tshut-tshài,出菜,1378-6-2
1378,1898,1,出氣,tshut-khuì,出氣,1378-7-1
1378,1899,1,出名,tshut-miâ,出名,1378-8-1
1378,1899,2,出頭,tshut-thâu,出頭,1378-8-2
1378,1900,1,袂出得買來食,bē-tshut-tit bé-lâi tsia̍h,捨不得買來吃,1378-9-1
1378,1901,1,出五百欲共伊買。,Tshut gōo-pah beh kā i bé.,出五百要跟他買。,1378-10-1
1378,1901,2,真俗矣，莫閣出矣！,"Tsin sio̍k--ah, mài koh tshut--ah!",很便宜了，別再出價了！,1378-10-2
1378,1902,1,八出菜,peh tshut tshài,八道菜,1378-11-1
1378,1902,2,這出菜真好食。,Tsit tshut  tshài tsin hó-tsia̍h.,這道菜很好吃。,1378-11-2
1379,1903,1,伊拍拚的故事有刊佇報紙頂頭。,I phah-piànn ê kòo-sū ū khan tī pò-tsuá tíng-thâu.,他努力奮鬥的故事被刊登在報紙上面。,1379-1-1
1379,1904,1,刊物,khan-bu̍t,刊物,1379-2-1
1379,1904,2,月刊,gue̍h-khan,月刊,1379-2-2
1380,1905,1,功勞,kong-lô,功勞,1380-1-1
1380,1906,1,功效,kong-hāu,功效,1380-2-1
1381,1907,1,加薦仔,ka-tsì-á,小提袋,1381-1-1
1381,1907,2,加車,ka-tshia,牛軛,1381-1-2
1382,1908,1,遮的加起來攏總一百箍。,Tsia--ê ka--khí-lâi lóng-tsóng tsi̍t-pah khoo.,這些加起來總共一百元。,1382-1-1
1382,1909,1,加工,ka-kang,加工,1382-2-1
1382,1909,2,加添,ka-thiam,增加,1382-2-2
1382,1909,3,加倍,ka-puē,加倍,1382-2-3
1383,1910,1,寄話會加，寄物會減。,"Kià-uē ē ke, kià mi̍h ē kiám.",請人傳話會被加油添醋，寄放東西則可能會被揩油。,1383-1-1
1383,1911,1,伊加找我五十箍。,I ke tsāu guá gōo-tsa̍p khoo.,他多找我五十塊錢。,1383-2-1
1383,1911,2,伊看起來加較少年。,I khuànn--khí-lâi ke khah siàu-liân.,他看起來年輕多了。,1383-2-2
1383,1912,1,予你加無閒，真歹勢。,"Hōo lí ke bô-îng, tsin pháinn-sè.",讓您增加麻煩，多了許多事，真是不好意思。,1383-3-1
1384,1913,1,包水餃,pau tsuí-kiáu,包水餃,1384-1-1
1384,1913,2,包冊,pau tsheh,包裝書本,1384-1-2
1384,1914,1,遮的菜尾攏共包起來。,Tsia-ê tshài-bué lóng kā pau--khí-lâi.,這些剩菜全部都打包起來。,1384-2-1
1384,1915,1,包贏的,pau iânn--ê,保證會贏,1384-3-1
1384,1916,1,一包米,tsi̍t pau bí,一包米,1384-4-1
1384,1917,1,藥包,io̍h-pau,藥包,1384-5-1
1384,1917,2,茶包,tê-pau,茶包,1384-5-2
1384,1918,1,肉包,bah-pau,肉包,1384-6-1
1384,1918,2,菜包,tshài-pau,菜包,1384-6-2
1384,1918,3,割包,kuah-pau,割包,1384-6-3
1384,1919,1,包公,Pau-kong,宋代有名的清官,1384-7-1
1384,1920,1,服務費包在內,ho̍k-bū-huì pau tsāi-lāi,服務費包含在裡面,1384-8-1
1384,1921,1,包機,pau-ki,包機,1384-9-1
1384,1921,2,包伙食,pau hué-si̍t,包伙食,1384-9-2
1385,1922,1,北爿,pak-pîng,北邊,1385-1-1
1385,1923,1,上北,tsiūnn-pak,北上，多指縱貫線火車上行,1385-2-1
1386,1924,1,半數,puàn sòo,半數,1386-1-1
1386,1925,1,半途,puàn-tôo,半途,1386-2-1
1386,1926,1,一知半解,it-ti-puàn-kái,不完全了解,1386-3-1
1387,1927,1,半隻,puànn tsiah,半隻,1387-1-1
1387,1928,1,半路,puànn-lōo,半路,1387-2-1
1387,1929,1,半知半毋知。,Puànn tsai puànn m̄ tsai.,一知半解。,1387-3-1
1388,1930,1,伊卌外歲矣，看著猶真少年。,"I siap-guā huè--ah, khuànn tio̍h iáu tsin siàu-liân.",他四十多歲了，看起來還是很年輕。,1388-1-1
1389,1931,1,占位,tsiàm-uī,占據位子,1389-1-1
1389,1932,1,占大多數,tsiàm tāi-to-sòo,占大多數,1389-2-1
1389,1933,1,彼兩个囡仔咧冤家，你緊去共占。,"Hit nn̄g ê gín-á teh uan-ke, lí kín khì kā tsiàm.",那兩個小孩在吵架，你趕快去勸阻一下。,1389-3-1
1390,1934,1,信用卡,sìn-iōng-khah,信用卡,1390-1-1
1391,1935,1,屜仔卡牢咧！,Thuah-á kha̍h-tiâu--leh!,抽屜卡住了！,1391-1-1
1392,1936,1,伊講欲請我食好料的，真正是卯死矣！,"I kóng beh tshiánn guá tsia̍h hó-liāu--ê, tsin-tsiànn sī báu--sí--ah!",他說要請我吃好料耶，真是賺到了！,1392-1-1
1393,1937,1,卯時,báu-sî,早上五點至七點,1393-1-1
