義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
1371,日後,以後、將來。,22975,下日,日後、改天、改日、來日。
1374,支持,協助、贊同。,1470,支援,支持、援助。
1374,支持,協助、贊同。,3097,同意,贊成、認可。
1374,支持,協助、贊同。,16607,幫贊,幫忙、幫助。替人出力、出主意或給予物質精神上的支援。
1374,支持,協助、贊同。,17502,贊成,同意。
1379,手指頭仔,手指。,7091,指頭仔,手或腳的指頭。正常情況下手腳左、右各五根指頭。
1380,止枵,充飢。吃東西解餓。,6034,治枵,充飢、果腹。填飽饑餓的肚子，常用於開玩笑。
1380,止枵,充飢。吃東西解餓。,21990,止飢,充飢，解餓。
1380,止枵,充飢。吃東西解餓。,22687,掠枵,止飢。
1381,手段,做事情的技巧、方法。,4615,步數,辦法、招數。做事的方法、步驟或下棋時的布棋法。
1381,手段,做事情的技巧、方法。,13822,跤手,手段、伎倆。
1382,水泉,水的源頭、泉水。,7196,泉水,從地下湧出的水。
1383,反省,自我檢討過去言語、行為的是非好壞。,13357,照鏡,引申為檢討、反省。
1383,反省,自我檢討過去言語、行為的是非好壞。,16628,檢討,檢驗探討。
1388,反背,違背、反叛、辜負、背叛。,14014,違背,違反。
1391,手面,手掌。,18486,手捗,手掌、手模。
1393,手面,現金。手頭上現有的財物。,10563,現金,現款。現在就有或立即可付的錢。
1394,方面,事物的部分地位。,11134,部份,全體中的局部；整體裡的一些個體。
1395,方面,方向。,1247,方向,指東西南北上下等區別。
1398,月俸,月薪、月給。公務員或受僱者每個月所領的薪資。,1485,月給,月薪、月俸。公務員或受僱者每個月所領的總薪資。源自日語「月給（げっきゅう）」。
1398,月俸,月薪、月給。公務員或受僱者每個月所領的薪資。,16818,薪水,薪資。工作所得按月計算的酬勞。
1400,毋值,不如、比不上。,14062,較輸,不如、比不上。
1403,月娘,月亮。,1111,月,星名。環繞地球運行的星球，即「月亮」。
1404,木屐,以木材為底，上面釘有帶子的木板拖鞋。,8559,柴屐,木屐。以木材做底的拖板鞋。
1406,反悔,對已經約定、允諾的事情，中途改變心意，感到後悔。,1531,反僥,違約、反悔。
1406,反悔,對已經約定、允諾的事情，中途改變心意，感到後悔。,6941,後悔,事後悔悟。
1406,反悔,對已經約定、允諾的事情，中途改變心意，感到後悔。,22466,退悔,中途改變心意，感到後悔。
1408,天庭,額頭眉間。面相家或醫生稱人額頭兩眉之間為天庭，認為其間的氣色好壞和人的運氣及健康有很大的關係。,18816,天平,額頭、天庭。
1412,日時,白天。,1416,日時仔,白天。
1412,日時,白天。,13396,當頭白日,大白天。特別強調說話的當時為白天。
1416,日時仔,白天。,1412,日時,白天。
1417,及格,合格。符合規定的標準或資格。,3070,合格,符合規定的標準。
1429,心神,精神、心力。,14700,精神,指人的神志、思維和心理狀況。
1431,少缺,不缺、多得很。多用在反詰口氣。,16640,濟,多。
1433,欠缺,因缺少而需要。,22574,缺欠,缺乏。
1435,引起,引發、發動。,22616,起致,引起、由此發生。
1436,記持,記憶、記性。,9354,記性,記憶力。
1436,記持,記憶、記性。,9411,記憶,心中對事、物所保有的印象。
1439,夫婦,夫妻。,1335,夫妻,夫婦。
1439,夫婦,夫妻。,9080,翁某,夫妻、夫婦、伉儷。
1439,夫婦,夫妻。,19694,翁仔某,夫妻、夫婦。
1439,夫婦,夫妻。,22635,翁仔姐,夫妻、夫婦。
1440,反常,不同於平時或過去的行為習慣、態度。,2423,失常,言行舉止和精神狀態不正常，或者是競賽時失去平時的水準。
1440,反常,不同於平時或過去的行為習慣、態度。,18076,變款,反常、變樣。
1443,毋情願,不情不願。,1241,毋甘願,不甘心、不甘願。
1445,水梨仔,水梨。木本植物，葉子互生，呈卵形或長橢圓形。開白花。果實呈球形，汁多，為一高級水果。,10388,梨仔,梨子。瓜果類。梨樹的果實。
1446,心爽,心裡舒適暢快。,10556,爽快,開心、愉快、心情好。
1449,手痕,指紋。,7064,指紋,人手指尖內側表面的紋路。
1449,手痕,指紋。,13527,腡,手指上螺旋狀的指紋。
1450,手痕,手印、手模。,1246,手印,捺在文件上的指模印。
1450,手痕,手印、手模。,1561,手模,手指紋路的印痕。
1450,手痕,手印、手模。,19113,指模,手指印。
1451,水產,水裡所出產的動物、植物、礦物等具有經濟價值的東西。,8667,海產,指從海中捕獲可供食用的生物。如魚、蝦、蟹或海草、海藻類等。
1452,支票,一種以銀行為付款人的憑票即付之匯票。,18485,手形,支票。源自日語「手形（てがた）」。
1455,手術,開刀。醫生使用醫療器材在病患身上切割患處、縫合傷口以治療疾病的方法。,12596,開刀,外科醫生為病人動手術。
1456,毋通,不可以、不要。是一種語氣較委婉的勸說或請求。,23058,甭,不可以、不要。有委婉勸說的意思。為「毋通」(m̄-thang)二字的合音。
1460,木魚,唸經時用來控制節奏的法器。,14266,嘓魚,木魚。唸經時用來控制節奏的法器。
1466,比喻,譬喻、比方。藉用事物的相同點，說明解釋。,17695,譬喻,比方、比如。利用兩件事物的相似點，用彼方來說明此方，通常是以易知說明難知，以具體說明抽象。
1467,比喻,譬喻、比方。,1326,比並,比喻、譬喻。將兩種相似的事物相比。
1467,比喻,譬喻、比方。,1564,比論,打比方、比如。
1467,比喻,譬喻、比方。,21919,譬論,比方、例如。描寫事物或說明道理時，利用兩件事物的相似點，用彼方來說明此方。
1470,支援,支持、援助。,1374,支持,協助、贊同。
1470,支援,支持、援助。,11660,援助,幫助、支援。
1470,支援,支持、援助。,16607,幫贊,幫忙、幫助。替人出力、出主意或給予物質精神上的支援。
1473,日期,發生某件事的確定日子或者期間。,1172,日子,黃曆上帶有吉凶的日期。
1474,木棉,木本植物。樹幹有瘤刺，枝條成輪狀向四周平伸開展。葉片平滑，花於初春開放，花朵豔麗，為橙紅色系。果子呈現橢圓形，種子上被棉毛，棉毛富有彈性，適合做枕頭、沙發等填充材料。,19350,斑芝,木棉樹。木本植物。樹幹有瘤刺，枝條成輪狀向四周平伸開展。葉片平滑，花於初春開放，花朵豔麗，為橙紅色系。果子呈現橢圓形，種子上被棉毛，棉毛富有彈性，適合做枕頭、沙發等填充材料。
1476,歹款,壞習慣。不懂禮教，多指吃東西的習慣或行為不好。,3519,有款,仗著受人寵溺而故意撒嬌、耍派頭。
1476,歹款,壞習慣。不懂禮教，多指吃東西的習慣或行為不好。,18489,毋是款,不像話。不懂禮教，多指吃東西的習慣或行為不好。
1477,毛毯,用毛料製成的毯子。,11773,毯仔,毯子。用來保暖或裝飾的棉毛織品。
1477,毛毯,用毛料製成的毯子。,21899,幔被仔,小毯子。
1478,天然,自然形成、天生的，不是人為的。,3792,自然,天然，沒有經過人為加工的。
1479,月琴,弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，因為過去有人行乞時會彈奏月琴伴唱，故俗稱為「乞食琴」(khit-tsia̍h-khîm)。,559,乞食琴,月琴。弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」。
1482,巴結,拍馬屁、奉承別人。,4365,扶,奉承、巴結。
1485,月給,月薪、月俸。公務員或受僱者每個月所領的總薪資。源自日語「月給（げっきゅう）」。,1398,月俸,月薪、月給。公務員或受僱者每個月所領的薪資。
1485,月給,月薪、月俸。公務員或受僱者每個月所領的總薪資。源自日語「月給（げっきゅう）」。,16818,薪水,薪資。工作所得按月計算的酬勞。
1487,手碗,手肘的關節。,1265,手曲,整個手臂彎曲起來所形成的部分。
1487,手碗,手肘的關節。,18827,手後曲,手肘外側。
1490,文雅,優美、高雅。,11652,斯文,文雅。人的舉止文雅有禮貌。
1490,文雅,優美、高雅。,12728,雅氣,氣質文雅、高尚。
1492,欠債,拖欠別人財物。,1557,欠數,欠帳。
1492,欠債,拖欠別人財物。,7741,負債,欠債。欠人錢財。
1493,歹勢,不好意思、對不起、抱歉。,9254,袂得過,過意不去。
1494,歹勢,害羞、難為情。,22830,畏羞人,害羞、靦腆。
1499,斗概,用來平斗的器具。以前用斗斛量東西時，用來刮平斗口高出部分的長形棒子。,13249,概尺,斗量五穀時，用來刮平高出斗面的麵粉、豆子、米的圓形木棒。
1501,水溝,疏通流水的溝道。,9185,臭溝仔,稱疏通流水、排洩汙水的溝道。
1501,水溝,疏通流水的溝道。,13251,溝仔,水溝。疏通流水的溝道。
1503,水源頭,水的發源地。,1589,水頭,水的源頭。
1506,月經,指月經來潮，生理成熟的女人每月子宮黏膜脫落，所發生的週期性陰道流血現象，通常約在十四歲到四十五歲之間。,4968,來洗,指女性月經來潮。
1507,反腹,反胃。有噁心、嘔吐的症狀。,2959,吐,嘔、反胃。
1507,反腹,反胃。有噁心、嘔吐的症狀。,22433,喙凊,噁心想吐。
1508,心腸,心地。,1279,心行,心地、心腸。
1508,心腸,心地。,1302,心肝,一個人的心地、心腸。
1510,心腹,臟腑。人體的重要內臟器官。,1034,五臟,指心、肝、脾、肺、腎等五大器官，也可泛指一切內臟。
1512,歹話,壞話。毀謗或攻訐他人的言論。,12613,閒仔話,閒話。評論他人是非的言語。
1513,歹話,詛咒。不祥的言語、詛咒人家的言語。,5223,咒罵,詛咒、謾罵。用惡毒的話斥責他人。
1513,歹話,詛咒。不祥的言語、詛咒人家的言語。,5230,咒讖,詈罵、詛咒。指用惡毒的言語辱罵他人。
1515,手路,特殊的手藝、手法。,1620,手藝,手工技藝。
1517,歹路,指不好的途徑、方向。,13214,暗路,夜間無燈光的道路。引申為不光明、不道德的人生道路。
1518,歹運,背運、倒楣。運氣不好。,1331,歹命,苦命、不幸。命運不好、沒有福份。
1518,歹運,背運、倒楣。運氣不好。,9257,衰運,倒楣、霉運。運氣不好。
1518,歹運,背運、倒楣。運氣不好。,9259,衰潲,倒楣。運氣不好，做事情不順利。
1518,歹運,背運、倒楣。運氣不好。,13653,落衰,走背運、走霉運。
1519,毋過,不過、但是。,893,不而過,但是、不過。
1519,毋過,不過、但是。,4011,但是,不過、可是。連接兩個具有相反因果關係的詞語或句子。
1519,毋過,不過、但是。,11851,猶毋過,不過、可是。
1520,比較,取兩個以上的事物互相評比他們的高下、輕重、好壞等。,1325,比並,比較。
1522,水道,自來水的線路、管道。源自日語「水道（すいどう）」。,1545,水管,水流通的管子。
1523,水道水,自來水。,3710,自來水,見【水道水】tsuí-tō-tsuí 條。
1528,水閘,用以調節水位，控制水流流量的閘門。,1364,水門,用以調節水位，控制水流流量的閘門。
1531,反僥,違約、反悔。,1406,反悔,對已經約定、允諾的事情，中途改變心意，感到後悔。
1531,反僥,違約、反悔。,7563,背約,違反先前所定下的契約或信約。
1533,夭壽,夭折。短命早死。,1299,夭折,短命、早死。指青少壯時死亡。
1533,夭壽,夭折。短命早死。,12101,短命,以詛咒人壽命不長、早死來罵人。
1533,夭壽,夭折。短命早死。,12126,短歲壽,短命。壽命不長、早夭。
1535,夭壽,引申為非常。,4735,足,非常、很、十分。也可唸作tsok。
1536,夭壽,引申為過分的、惡毒的。,19343,惡質,惡劣、邪惡、壞透、居心不良。
1537,夭壽仔,夭壽、短命鬼。詛咒人短命的用語。,23184,夭壽骨,短命鬼。罵人的粗俗話語。
1538,夭壽短命,短命鬼。詛咒人短命早死的用語。,16180,膨肚短命,凸肚子短命鬼。咒罵人早死的用語。
1538,夭壽短命,短命鬼。詛咒人短命早死的用語。,23184,夭壽骨,短命鬼。罵人的粗俗話語。
1539,反對,不贊成。,4532,抗議,用抗爭的方式對別人的行為或一個被決定的措施提出反對的意見。
1539,反對,不贊成。,23124,夯硬篙,唱反調。堅持自己與他人不同的意見。
1540,手摺簿仔,存摺。金融機構發給存款人的小冊子，內容詳細記載存款人的存提記錄，可以做為憑證。,9930,寄金簿仔,存款簿、存摺。
1543,毋管,不論、無論。,11952,無論,不論、不管。
1545,水管,水流通的管子。,1522,水道,自來水的線路、管道。源自日語「水道（すいどう）」。
1547,引誘,誘導、勾引。,856,勾引,引誘。
1547,引誘,誘導、勾引。,9736,唌,引誘。
1547,引誘,誘導、勾引。,14811,誘,以事物引人注意、打動人心。
1549,日誌,日曆。記載年、月、日、星期和節氣、紀念日等的印刷品，一年一本，一日一頁。,15973,曆日,日曆。記載年、月、日、星期和節氣、紀念日等的印刷品，一年一本，一日一頁。
1553,引魂,指招回生者或死者之魂。,5829,招魂,指招回生者或死者之魂。
1554,月餅,一種包著餡料的糕餅點心，是中秋節的應景食品。,932,中秋餅,月餅。一種包餡的糕餅點心，為中秋節應時的食品。
1556,少數,數量少、不多。,690,小數,少數。數額不大。
1557,欠數,欠帳。,1492,欠債,拖欠別人財物。
1557,欠數,欠帳。,7741,負債,欠債。欠人錢財。
1561,手模,手指紋路的印痕。,1246,手印,捺在文件上的指模印。
1561,手模,手指紋路的印痕。,1450,手痕,手印、手模。
1561,手模,手指紋路的印痕。,19113,指模,手指印。
1564,比論,打比方、比如。,1326,比並,比喻、譬喻。將兩種相似的事物相比。
1564,比論,打比方、比如。,1467,比喻,譬喻、比方。
1564,比論,打比方、比如。,17695,譬喻,比方、比如。利用兩件事物的相似點，用彼方來說明此方，通常是以易知說明難知，以具體說明抽象。
1564,比論,打比方、比如。,21919,譬論,比方、例如。描寫事物或說明道理時，利用兩件事物的相似點，用彼方來說明此方。
1565,心適,有趣。,23123,有局,有意思、有趣。
1572,天橋,馬路上方便行人穿越馬路而凌空架設的橋梁。,11198,陸橋,在馬路中央架空的橋樑，通常為了疏通車流而跨越十字路口架設。
1575,手橐仔,手套。,1631,手囊,手套。
1579,手錶仔,手錶。戴在手上的計時器。,16361,錶仔,手錶、懷錶等小型、可攜帶的計時器總稱。
1582,戶頭,帳戶。原本指不動產登記簿上的所有權人，現在大多用來稱呼在銀行等金融機構所開立的存提款帳號及所有者的名稱。,569,口座,帳戶、戶頭。在金融機構開一個存提款戶。源自日語「口座（こうざ）」。
1586,日頭,太陽。,1108,日,太陽。
1588,月頭,月初。每月起初的幾天。,1330,月初,月頭、上旬。一個月剛開始的頭幾天。
1589,水頭,水的源頭。,1503,水源頭,水的發源地。
1594,水龍,抽水機。可用來抽水、噴水的設施。,1597,水龜,抽水機。可用來抽水的機器設備。
1597,水龜,抽水機。可用來抽水的機器設備。,1594,水龍,抽水機。可用來抽水、噴水的設施。
1598,水龍車,消防車、救火車。裝備有各種消防工作的機械器具，為搶救火災及其他災害而設計的汽車。,18534,拍火車,消防車、救火車。裝備有各種消防工作的機械器具，為搶救火災及其他災害而設計的汽車。
1609,水觳仔,裝水的容器、杓子。,9787,匏桸,匏瓜曬乾挖空製成的水瓢。
1609,水觳仔,裝水的容器、杓子。,10339,桸,杓子。用來舀水的器具。
1614,水薸,浮萍。水生植物。一年生水草，葉扁平而小，三葉相集，為橢圓形，葉下叢生鬚根，隨水蕩漾，多分布於稻田、溝渠、池塘中。,17099,薸,浮萍。水生植物。一年生，狀如小綠葉片，浮於水面上。
1616,水雞,青蛙。兩棲類動物。腳上有蹼，擅長跳躍、游泳。多生活在水邊，常在夜間活動。,2174,四跤仔,青蛙。兩棲類動物。腳上有蹼，擅長跳躍、游泳。多生活在水邊，常在夜間活動。
1616,水雞,青蛙。兩棲類動物。腳上有蹼，擅長跳躍、游泳。多生活在水邊，常在夜間活動。,2720,田蛤仔,田蛙、青蛙。兩棲類動物。頭寬扁、闊嘴、大眼。背部呈青綠色，腹部灰白，表皮光滑。有蹼，善跳躍、游泳。
1616,水雞,青蛙。兩棲類動物。腳上有蹼，擅長跳躍、游泳。多生活在水邊，常在夜間活動。,12369,蛤仔,田蛙、青蛙。兩棲類動物。頭寬扁、闊嘴、大眼。背部呈青綠色，腹部灰白，表皮光滑。有蹼，善跳躍、游泳。
1618,水雞泅,蛙泳、蛙式。游泳的四種標準姿勢之一。腹部朝下，雙手撥水，雙腳踢水，頭部在水面上吸氣，然後在水中吐氣，動作像青蛙在水池中游泳的樣子。,2175,四跤仔泅,蛙式的游泳姿勢。
1620,手藝,手工技藝。,1515,手路,特殊的手藝、手法。
1624,心願,願望、希望。心中立意要做的事、心裡的願望。,3077,向望,盼望、希望。
1624,心願,願望、希望。心中立意要做的事、心裡的願望。,4288,希望,期望、寄望。
1624,心願,願望、希望。心中立意要做的事、心裡的願望。,17579,願望,心願與希望。
1626,毋願,不甘心。心裡不服氣，不情願。,1241,毋甘願,不甘心、不甘願。
1628,戶籍,政府登記各戶人數、職業、籍貫等的資料簿冊。,1167,戶口,指個人的戶籍資料。
1628,戶籍,政府登記各戶人數、職業、籍貫等的資料簿冊。,8262,家甲,戶籍、戶口。政府登記各戶人數、職業、籍貫等的簿冊。
1631,手囊,手套。,1575,手橐仔,手套。
1632,心臟,中空、紅色的肌肉質器官，如拳頭般大小，主掌全身血液的循環。,1084,心,人體器官之一。
1641,火,引申為怒氣、熱情等與冰、冷相對的事物。,1704,火氣,指心中的怒氣。
1642,火,中醫所指引起發炎、煩燥等症狀的病因。,1703,火氣,傳統中醫對人體生理現象的一種描述。指一個人全身有燥熱的感覺，而生理上常有嘴破、口乾、小便赤黃、便秘等現象產生。
1654,牙,人和動物口腔內咀嚼研磨的器官。,15804,齒,牙齒。
1659,王,在同類之中最強、最好的。,16402,頭,居前的領導人物。
1665,爪仔,竹製或鐵製的耙草爪形農具。,9070,耙仔,耙子。耙草用的小鋤頭。
1670,牛仔褲,原來為一種藍色帆布做成的工作褲，後來成為流行的服裝。早期叫「拍鐵仔褲」(phah-thih-á-khòo)。,5872,拍鐵仔褲,牛仔褲。早期美國西部移民者所穿的工作服。用帳篷布縫製而成，質地堅韌，不易磨損。
1671,父母,父親與母親。稱謂。,6104,爸母,父母。稱謂。父親與母親。
1675,牛奶喙仔,奶嘴，用來裝在奶瓶上供嬰兒吸奶，或用來安撫嬰幼兒。,2440,奶喙仔,奶嘴。橡皮製的奶頭。一種是裝在奶瓶上，有孔，可以讓嬰兒吸吮其中的牛奶或水；另一種無孔，則是單純供嬰兒吸吮，用來安撫嬰兒。
1681,火夾,夾炭火的鋏子。,1720,火鉗,夾煤炭、木炭的工具。
1681,火夾,夾炭火的鋏子。,1725,火箸,夾炭火的工具。
1682,牛杙仔,用來栓牛的小木樁。,4478,杙,栓繫獸類或車船用的小木樁。
1682,牛杙仔,用來栓牛的小木樁。,4487,杙仔,栓繫獸類或車船用的小木樁。如牧人隨身帶著，可隨時打在地上，方便繫牛繩的木樁。
1682,牛杙仔,用來栓牛的小木樁。,8543,柴杙,木杙、木樁。插入土中用來繫綁牛、羊的小木樁。
1683,火災,因失火而造成的災害。,1734,火燒,火災。因失火而造成的傷害。
1689,火車站,停靠火車供旅客上下的車站。,18861,火車頭,火車站。
1690,火車路,鐵路。鋪設鐵軌，供火車、電車通行的道路。,17844,鐵枝路,鋪設鐵軌，供火車、電車通行的道路。
1691,火金蛄,螢火蟲。昆蟲，身體呈黃褐色，腹部尾端會發出燐光，白天藏在草叢裡，晚上才飛出來。,18863,火金星,螢火蟲。昆蟲，身體呈黃褐色，腹部尾端會發出燐光，白天藏在草叢裡，晚上才飛出來。
1694,牛屎色,牛糞色、糞黃色。黃褐帶綠的顏色，也用來形容顏色不好看。,14558,漚色,顏色灰暗。
1703,火氣,傳統中醫對人體生理現象的一種描述。指一個人全身有燥熱的感覺，而生理上常有嘴破、口乾、小便赤黃、便秘等現象產生。,1642,火,中醫所指引起發炎、煩燥等症狀的病因。
1704,火氣,指心中的怒氣。,1210,心火,內心的浮躁、激動或者是怒氣。
1704,火氣,指心中的怒氣。,1641,火,引申為怒氣、熱情等與冰、冷相對的事物。
1704,火氣,指心中的怒氣。,7804,風火,火氣、怒氣。
1704,火氣,指心中的怒氣。,7808,風火頭,氣頭上。
1720,火鉗,夾煤炭、木炭的工具。,1681,火夾,夾炭火的鋏子。
1720,火鉗,夾煤炭、木炭的工具。,1725,火箸,夾炭火的工具。
1721,牛頓草,牛筋草、草霸王。草本植物。俗稱「草霸王」，早期的小孩子遊戲，將兩根草莖互相打結，然後拉扯至斷做為輸贏的遊戲。,9219,草霸王,牛筋草。草本植物。生命力特別強，只要有土的地方，都可以看到它的蹤跡。
1722,火鼠,松鼠 。外形像老鼠但大些，尾巴長且膨鬆，常棲於樹上，吃果實。,16195,膨鼠,松鼠。外形像老鼠但大些，尾巴長且膨鬆，常棲於樹上，吃果實。
1723,火種,引火的東西。,18859,火母,火種。供引火用的火。
1725,火箸,夾炭火的工具。,1681,火夾,夾炭火的鋏子。
1725,火箸,夾炭火的工具。,1720,火鉗,夾煤炭、木炭的工具。
1733,牛擔,牛軛。一種架在牛背或脖子上以負載牛車或犁的拉力的器具。,2209,加擔,牛拉東西時架在牛脖子上的東西。
1734,火燒,火災。因失火而造成的傷害。,1683,火災,因失火而造成的災害。
1740,牛螕,形容吝嗇的人，就像牛螕吸血一樣只有進沒有出。,22125,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
1751,世,三十年為一世，常引申為一生。,2534,生,計算一輩子的單位。
1763,乏,不足。缺少。,1123,欠,缺少。
1763,乏,不足。缺少。,22574,缺欠,缺乏。
1786,仝,相同、無差異。,18440,𫝛,形容相同、相似或一樣的樣子。
1790,代,事、事情。人類的所作所為及自然界的一切現象、活動。,1880,代誌,事情。
1796,兄,哥哥。稱謂。同輩血親中年齡大於自己的人。,1853,兄哥,哥哥。稱謂。對兄長的稱呼。
1798,冊,書。古代編綴竹簡成冊，後來泛指書籍、簿本。,8491,書,把不同的文章或圖片集結起來的冊子。
1809,充分,足夠，完全。,1827,充足,充分足夠。
1809,充分,足夠，完全。,14166,飽足,飽滿充足。
1810,以及,與、和。,4913,佮,和、及、與、跟。
1811,世代,朝代、年代。,23008,時世,時代。
1815,代先,事先、預先。,12530,進前,以前、從前。
1816,代先,第一個。,22948,做前,領頭、帶領。
1817,代先,最前頭。,22949,做前,當前鋒、趕在前頭。
1827,充足,充分足夠。,1809,充分,足夠，完全。
1827,充足,充分足夠。,14166,飽足,飽滿充足。
1831,冊店,書店、書局。賣書的商店。,18875,冊局,書局。
1832,冊房,書房、書齋。指家中讀書寫字的房間。,8550,書房,書齋。指家中讀書寫字的房間。
1841,世俗,世間、俗世。,1871,世間,世界上。
1842,以前,指早於某一段時間之前的時間。,3437,早日,從前。
1842,以前,指早於某一段時間之前的時間。,12530,進前,以前、從前。
1842,以前,指早於某一段時間之前的時間。,22634,頂回,上次、以前、之前的事情。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,1371,日後,以後、將來。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,22615,後日仔,日後、以後、將來。未來的日子。
1847,冊架仔,書架。存放書籍的架子。,8558,書架仔,書架。存放書籍的架子。
1849,世界,指地球上所有的地方或國家。,2108,四海,到處、四處。古代人認為中國四周環海，所以稱四個方位為「四海」，用來泛指世界各地。
1853,兄哥,哥哥。稱謂。對兄長的稱呼。,405,大兄,大哥、長兄。
1853,兄哥,哥哥。稱謂。對兄長的稱呼。,1796,兄,哥哥。稱謂。同輩血親中年齡大於自己的人。
1853,兄哥,哥哥。稱謂。對兄長的稱呼。,6384,阿兄,哥哥。稱謂。同父母所生而年紀比自己大的男性。
1853,兄哥,哥哥。稱謂。對兄長的稱呼。,8135,哥哥,稱謂。對兄長的稱呼。除了當面稱呼之外，也適用於在向他人介紹的情境。
1868,代替,交替、取代。,11739,替換,更替、替代。將原有的調換下來。
1869,仝款,同樣、相像。一樣，沒有差別。,7332,相𫝛,相同。
1869,仝款,同樣、相像。一樣，沒有差別。,7340,相仝,相同。
1871,世間,世界上。,1841,世俗,世間、俗世。
1873,兄嫂,嫂子、嫂嫂。稱謂。稱呼兄長的妻子或對朋友妻子的敬稱。,6502,阿嫂,嫂嫂。稱謂。哥哥的妻子。
1877,且慢,意指暫且停住、稍等一下。通常用在句首作發語詞。若唸作tshé-bān，則屬於戲文上的唸法。,14421,慢且,且慢、等一下、稍待片刻。
1877,且慢,意指暫且停住、稍等一下。通常用在句首作發語詞。若唸作tshé-bān，則屬於戲文上的唸法。,14422,慢且是,且慢、等一下、稍待片刻。
1880,代誌,事情。,1790,代,事、事情。人類的所作所為及自然界的一切現象、活動。
1883,冊櫥,書櫃。放書的櫥櫃。,8601,書櫥,收藏書籍的櫃子。
1884,主顧,購買商品的主要顧客。,6825,客戶,指商業行為上的消費者或買方。
1884,主顧,購買商品的主要顧客。,18872,主顧客,主顧、常客。
1887,冬,計算年的單位。代表一年的時間。,3183,年,計算時間的單位。地球繞行太陽公轉一圈所需的時間為一年。
1887,冬,計算年的單位。代表一年的時間。,3187,年,計算時間的單位。地球繞行太陽公轉一圈所需的時間為一年。
1910,加,增益、添加。,10436,添,加、增、補。
1910,加,增益、添加。,10437,添,加、增、補。
1915,包,保證。,17409,穩,一定。
1946,去,完。表示程度，通常與「會」(ē)、「袂」(bē)連用。,4214,完,完畢、結束、沒有剩餘。
1947,去,動詞後綴。……掉，表示動作或狀態的完成或結束。,10124,掉,置於動詞之後，表示動作完成。
1948,去,花費。,12617,開用,花費、開支。
1949,去,消除。,1039,化,消除。
1949,去,消除。,8769,消除,清除。使之不存在、消失。
1949,去,消除。,9454,除,去掉。
1949,去,消除。,13735,解,解除、消除。
1966,叫,稱做。,13715,號做,叫做、稱為。
1968,叮,叮嚀、吩咐。,4119,吩咐,叮嚀、叮囑。
1986,央,請求、懇求。,2004,央三託四,三託四請。多方請託別人提供協助。
1986,央,請求、懇求。,6943,拜託,非常恭敬的請託別人幫助。
1986,央,請求、懇求。,15554,請,懇求、拜託。
1988,出丁,生男孩子。,10448,添丁,生兒子。古時候稱男子為「丁」(ting)，所以稱家族中增加男性成員為「添丁」。
1991,出力,使勁、用力。,16676,瞪力,用力、使力。特別是指憋住呼吸以增加力氣的使力方式。
1994,去了了,完蛋了、全去了。,8245,害了了,完蛋了。事情毀滅、沒有希望了。
2000,半子,半個兒子，指女婿。,3088,囝婿,女婿。稱謂。女兒的丈夫。
2001,半工,半天。,2016,半日,半天。指一天的一半。
2001,半工,半天。,2124,半晡,半天，或指一天中的一段時間。
2002,外口,外面。外頭、外邊。,555,口面,外面。外頭、外部。
2002,外口,外面。外頭、外邊。,2094,外面,外面、外頭、外邊。
2002,外口,外面。外頭、外邊。,2219,外頭,外面、外邊。
2004,央三託四,三託四請。多方請託別人提供協助。,1986,央,請求、懇求。
2004,央三託四,三託四請。多方請託別人提供協助。,6943,拜託,非常恭敬的請託別人幫助。
2004,央三託四,三託四請。多方請託別人提供協助。,15554,請,懇求、拜託。
2004,央三託四,三託四請。多方請託別人提供協助。,18462,託,請託。
2005,司公,道士。民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。,13956,道士,民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。
2006,外公,外公、外祖父。稱謂。媽媽的父親。,6367,阿公,外公。稱謂。稱呼母親的父親。
2007,半中站,中途、半路。,970,中途,半路、半途。路途之中。
2007,半中站,中途、半路。,2180,半路,半途、中途、途中。
2007,半中站,中途、半路。,18496,半中央,中央，中間。
2007,半中站,中途、半路。,23180,中站,半途、半路。路程的一半。
2007,半中站,中途、半路。,23181,中站,中途，中間。事情進行的中間。
2011,冬天,一年四季中最後一個季節，氣候寒冷。,11473,寒人,冬天。
